Verb,VerbNet Class,Situation Domain,Situation,Polysemy,,,Distinct Verb,Mapping Count,,,,,,Gaps
strip,wipe_manner-10.4.1,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
stroke,touch-20,Force,Basic Force,Monosemous,,,,,,,Force,,,
stroll,run-51.3.2,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
struggle,battle-36.4,Affiliation,Reciprocal,Monosemous,,,,,,,Affiliation,,,
strut,run-51.3.2,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
stub,hurt-40.8.3,Transformation,Hurt,Monosemous,,,,,,,Transformation,,,
stucco,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
stud,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
study,assessment-34.1,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
study,learn-14,Cognition,Learn,Polysemous,,,,,,,Cognition,,,
stuff,spray-9.7,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
stumble,run-51.3.2,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
stumble_on,encounter-30.5,Perception,Sense,Monosemous,,,,,,,Perception,,,
stumble_upon,encounter-30.5,Perception,Sense,Monosemous,,,,,,,Perception,,,
stump,amuse-31.1,Affect,Affect,Polysemous,,,,,,,Affect,,,
stump,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
stun,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
stupefy,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
stutter,manner_speaking-37.3,Communication,Statement,Monosemous,,,,,,,Communication,,,
style,braid-41.2.2,Transformation,Causative Change of State,Polysemous,,,,,,,Transformation,,,
style,create-26.4,Creation,Causative Creation,Polysemous,,,,,,,Creation,,,
style,dub-29.3.2,Communication,Statement,Polysemous,,,,,,,Communication,,,
subcontract,employment-95.3,Affiliation,Membership,Polysemous,,,,,,,Affiliation,,,
subcontract,hire-13.5.3,Affiliation,Cause Membership,Polysemous,,,,,,,Affiliation,,,
submerge,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
submit,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,,,,,Possession,,,
suborn,compel-59.1,Affiliation,Inducive,Monosemous,,,,,,,Affiliation,,,
subselect,characterize-29.2,Communication,Statement,Polysemous,,,,,,,Communication,,,
subselect,obtain-13.5.2,Possession,Dynamic Possession,Polysemous,,,,,,,Possession,,,
subside,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
subsist,gorge-39.6,Transformation,Ingestion,Monosemous,,,,,,,Transformation,,,
substitute,substitute-13.6.2,Possession,Replace,Monosemous,,,,,,,Possession,,,
subtract,multiply-108,Quantification,Counting,Polysemous,,,,,,,Quantification,,,
subtract,remove-10.1,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
subvert,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
suck,chew-39.2,Transformation,Ingestion,Polysemous,,,,,,,Transformation,,,
suck,wipe_manner-10.4.1,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
suckle,feeding-39.7,Transformation,Feeding,Monosemous,,,,,,,Transformation,,,
suction,wipe_manner-10.4.1,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
suffer,admire-31.2,Attend,Attend,Polysemous,,,,,,,Attend,,,
suffer,marvel-31.3,Affect,Affect,Polysemous,,,,,,,Affect,,,
suffocate,poison-42.2,Transformation,Causative Change of State,Polysemous,,,,,,,Transformation,,,
suffocate,suﬀocate-40.7,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
suffuse,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
sugar,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
suggest,indicate-78,Association,Require and Satisfy,Polysemous,,,,,,,Association,,,
suggest,reﬂexive_appearance-48.1.2,Communication,Statement,Polysemous,,,,,,,Communication,,,
suggest,say-37.7,Communication,Statement,Polysemous,,,,,,,Communication,,,
sulfurize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
sulk,marvel-31.3,Affect,Affect,Monosemous,,,,,,,Affect,,,
sully,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
sulphur,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
sum,multiply-108,Quantification,Counting,Monosemous,,,,,,,Quantification,,,
sum_up,transfer_mesg-37.1.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
summarize,transfer_mesg-37.1.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
summon,urge-58.1,Communication,Request,Monosemous,,,,,,,Communication,,,
sunbathe,dress-41.1.1,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
sunburn,hurt-40.8.3,Transformation,Hurt,Polysemous,,,,,,,Transformation,,,
sunburn,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
sunder,disassemble-23.3,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
sup,dine-39.5,Transformation,Ingestion,Monosemous,,,,,,,Transformation,,,
superimpose,put-9.1,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
superintend,supervision-95.2.2,Affiliation,Membership,Monosemous,,,,,,,Affiliation,,,
supervene,appear-48.1.1,Location,Location,Monosemous,,,,,,,Location,,,
supervise,supervision-95.2.2,Affiliation,Membership,Monosemous,,,,,,,Affiliation,,,
supplant,substitute-13.6.2,Possession,Replace,Monosemous,,,,,,,Possession,,,
supplicate,beg-58.2,Communication,Request,Monosemous,,,,,,,Communication,,,
supply,fulﬁlling-13.4.1,Possession,Transfer of Possession,Monosemous,,,,,,,Possession,,,
support,admire-31.2,Attend,Attend,Polysemous,,,,,,,Attend,,,
support,contiguous_location-47.8,Location,Location,Polysemous,,,,,,,Location,,,
support,support-15.3,Force,Constrain,Polysemous,,,,,,,Force,,,
suppose,consider-29.9,Cognition,Judge,Monosemous,,,,,,,Cognition,,,
suppress,concealment-16,Incremental,Concealment,Monosemous,,,,,,,Incremental,,,
suppurate,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
surge,appear-48.1.1,Location,Location,Monosemous,,,,,,,Location,,,
surmise,conjecture-29.5,Cognition,Judge,Monosemous,,,,,,,Cognition,,,
surmount,contiguous_location-47.8,Location,Location,Monosemous,,,,,,,Location,,,
surpass,exceed-90,Association,Require and Satisfy,Monosemous,,,,,,,Association,,,
surprise,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
surrender,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,,,,,Possession,,,
surround,contiguous_location-47.8,Location,Location,Polysemous,,,,,,,Location,,,
surround,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
surveil,assessment-34.1,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
surveil,investigate-35.4,Volition,Search,Polysemous,,,,,,,Volition,,,
survey,assessment-34.1,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
survey,investigate-35.4,Volition,Search,Polysemous,,,,,,,Volition,,,
survive,exist-47.1,Existence,Existence,Polysemous,,,,,,,Existence,,,
survive,gorge-39.6,Transformation,Ingestion,Polysemous,,,,,,,Transformation,,,
suspect,consider-29.9,Cognition,Judge,Monosemous,,,,,,,Cognition,,,
suspend,put_spatial-9.2,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
suspend,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,,,,,Existence,,,
suspend,ﬁre-10.10,Affiliation,Cause Membership,Polysemous,,,,,,,Affiliation,,,
suture,tape-22.4,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
swab,spray-9.7,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
swab,wipe_manner-10.4.1,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
swaddle,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
swag,modes_of_being_with_motion-47.3,Existence,Existence,Polysemous,,,,,,,Existence,,,
swag,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
swag,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,,,,,Existence,,,
swagger,run-51.3.2,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
swallow,gobble-39.3,Transformation,Ingestion,Polysemous,,,,,,,Transformation,,,
swallow,hiccup-40.1.1,Existence,Existence,Polysemous,,,,,,,Existence,,,
swan,run-51.3.2,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
swap,substitute-13.6.2,Possession,Replace,Monosemous,,,,,,,Possession,,,
swap_out,substitute-13.6.2,Possession,Replace,Monosemous,,,,,,,Possession,,,
swarm,swarm-47.5.1,Existence,Existence,Monosemous,,,,,,,Existence,,,
swash,spray-9.7,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
swat,swat-18.2,Force,Basic Force,Monosemous,,,,,,,Force,,,
swathe,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
sway,body_internal_motion-49.1,Existence,Existence,Polysemous,,,,,,,Existence,,,
sway,compel-59.1,Affiliation,Inducive,Polysemous,,,,,,,Affiliation,,,
sway,modes_of_being_with_motion-47.3,Existence,Existence,Polysemous,,,,,,,Existence,,,
swear,conjecture-29.5,Cognition,Judge,Monosemous,,,,,,,Cognition,,,
sweat,breathe-40.1.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
sweat,substance_emission-43.4,Creation,Emission,Monosemous,,,,,,,Creation,,,
sweep,funnel-9.3,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
sweep,meander-47.7,Existence,Existence,Polysemous,,,,,,,Existence,,,
sweep,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
sweep,search-35.2,Volition,Search,Polysemous,,,,,,,Volition,,,
sweep,wipe_manner-10.4.1,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
sweet-talk,lure-59.3,Affiliation,Inducive,Monosemous,,,,,,,Affiliation,,,
sweeten,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
swell,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
swelter,weather-57,Existence,Existence,Monosemous,,,,,,,Existence,,,
swerve,meander-47.7,Existence,Existence,Polysemous,,,,,,,Existence,,,
swerve,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
swig,gobble-39.3,Transformation,Ingestion,Monosemous,,,,,,,Transformation,,,
swill,devour-39.4,Transformation,Ingestion,Monosemous,,,,,,,Transformation,,,
swim,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
swim,swarm-47.5.1,Existence,Existence,Polysemous,,,,,,,Existence,,,
swim,tingle-40.8.2,Existence,Existence,Polysemous,,,,,,,Existence,,,
swindle,cheat-10.6.1,Possession,Transfer of Possession,Monosemous,,,,,,,Possession,,,
swing,coil-9.6,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
swing,put_spatial-9.2,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
swing,roll-51.3.1,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
swing,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,,,,,Existence,,,
swipe,steal-10.5,Possession,Transfer of Possession,Polysemous,,,,,,,Possession,,,
swipe,swat-18.2,Force,Basic Force,Polysemous,,,,,,,Force,,,
swirl,coil-9.6,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
swirl,modes_of_being_with_motion-47.3,Existence,Existence,Polysemous,,,,,,,Existence,,,
swish,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
switch,substitute-13.6.2,Possession,Replace,Monosemous,,,,,,,Possession,,,
swoon,change_bodily_state-40.8.4,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
swoon,marvel-31.3,Affect,Affect,Polysemous,,,,,,,Affect,,,
swoosh,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
symbolize,representation-110.1,Association,Require and Satisfy,Monosemous,,,,,,,Association,,,
synthesize,create-26.4,Creation,Causative Creation,Monosemous,,,,,,,Creation,,,
tabulate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
tack,nonvehicle-51.4.2,Motion,Vehicular Motion,Polysemous,,,,,,,Motion,,,
tack,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
tack,tape-22.4,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tack_on,put-9.1,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
tackle,confront-98,Communication,Response,Monosemous,,,,,,,Communication,,,
tag,butter-9.9,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
tag,illustrate-25.3,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tail,chase-51.6,Motion,Pursuit,Polysemous,,,,,,,Motion,,,
tail,pit-10.7,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
tailor,captain-29.8,Affiliation,Role,Monosemous,,,,,,,Affiliation,,,
taint,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
taiwanize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
take,absorb-39.8,Transformation,Absorb,Polysemous,,,,,,,Transformation,,,
take,bring-11.3,Motion,Carry,Polysemous,,,,,,,Motion,,,
take,characterize-29.2,Communication,Statement,Polysemous,,,,,,,Communication,,,
take,cost-54.2,Quantification,Measurement,Polysemous,,,,,,,Quantification,,,
take,devour-39.4,Transformation,Ingestion,Polysemous,,,,,,,Transformation,,,
take,fit-54.3,Quantification,Capacity,Polysemous,,,,,,,Quantification,,,
take,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,,,,,Possession,,,
take,get-13.5.1,Possession,Buy and Sell,Polysemous,,,,,,,Possession,,,
take,remove-10.1,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
take,render-29.90,Transformation,Causative Change of State,Polysemous,,,,,,,Transformation,,,
take,require-103,Association,Require and Satisfy,Polysemous,,,,,,,Association,,,
take,scribble-25.2,Creation,Image Creation,Polysemous,,,,,,,Creation,,,
take,steal-10.5,Possession,Transfer of Possession,Polysemous,,,,,,,Possession,,,
take,vehicle_path-51.4.3,Motion,Vehicular Motion,Polysemous,,,,,,,Motion,,,
take_away,remove-10.1,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
take_down,scribble-25.2,Creation,Image Creation,Monosemous,,,,,,,Creation,,,
take_off,remove-10.1,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
take_on,confront-98,Communication,Response,Polysemous,,,,,,,Communication,,,
take_on,hire-13.5.3,Affiliation,Cause Membership,Polysemous,,,,,,,Affiliation,,,
take_out,remove-10.1,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
take_over,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,,,,,Possession,,,
take_place,occur-48.3,Existence,Existence,Monosemous,,,,,,,Existence,,,
take_shape,appear-48.1.1,Location,Location,Monosemous,,,,,,,Location,,,
talc,braid-41.2.2,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
talk,compel-59.1,Affiliation,Inducive,Polysemous,,,,,,,Affiliation,,,
talk,lecture-37.11,Communication,Statement,Polysemous,,,,,,,Communication,,,
talk,talk-37.5,Communication,Statement,Polysemous,,,,,,,Communication,,,
tally,multiply-108,Quantification,Counting,Polysemous,,,,,,,Quantification,,,
tally,transcribe-25.4,Creation,Image Creation,Polysemous,,,,,,,Creation,,,
tally_up,transcribe-25.4,Creation,Image Creation,Monosemous,,,,,,,Creation,,,
tame,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tamp,hit-18.1,Force,Basic Force,Monosemous,,,,,,,Force,,,
tan,dress-41.1.1,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tan,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
tango,waltz-51.5,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
tantalize,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
tap,hit-18.1,Force,Basic Force,Polysemous,,,,,,,Force,,,
tap,investigate-35.4,Volition,Search,Polysemous,,,,,,,Volition,,,
tap,throw-17.1,Motion,Throw,Polysemous,,,,,,,Motion,,,
tapdance,waltz-51.5,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
tape,tape-22.4,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tape,transcribe-25.4,Creation,Image Creation,Polysemous,,,,,,,Creation,,,
taper,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tar,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
target,confront-98,Communication,Response,Monosemous,,,,,,,Communication,,,
tarmac,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
tarnish,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tart up,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
tassel,butter-9.9,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
tassel,pit-10.7,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
tassel,pocket-9.10,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
taste,assessment-34.1,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
taste,see-30.1,Perception,Sense,Polysemous,,,,,,,Perception,,,
taste,stalk-35.3,Volition,Search,Polysemous,,,,,,,Volition,,,
taste,stimulus_subject-30.4,Perception,Attend,Polysemous,,,,,,,Perception,,,
tatter,break-45.1,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tattoo,image_impression-25.1,Creation,Image Creation,Monosemous,,,,,,,Creation,,,
taunt,bully-59.5,Affiliation,Attack,Monosemous,,,,,,,Affiliation,,,
tauten,bend-45.2,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tax,bill-54.5,Possession,Transfer of Possession,Polysemous,,,,,,,Possession,,,
tax,bill-54.5,Possession,Pay and Charge,Polysemous,,,,,,,Possession,,,
taxi,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,,,,,Motion,,,
teach,transfer_mesg-37.1.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
tear,break-45.1,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
tear,hurt-40.8.3,Transformation,Hurt,Polysemous,,,,,,,Transformation,,,
tear,run-51.3.2,Motion,Basic Motion,Polysemous,,,,,,,Motion,,,
tear,split-23.2,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tease,braid-41.2.2,Transformation,Causative Change of State,Polysemous,,,,,,,Transformation,,,
tease,bully-59.5,Affiliation,Attack,Polysemous,,,,,,,Affiliation,,,
tease,ferret-35.6,Volition,Long,Polysemous,,,,,,,Volition,,,
teem,swarm-47.5.1,Existence,Existence,Monosemous,,,,,,,Existence,,,
teem,weather-57,Existence,Existence,Monosemous,,,,,,,Existence,,,
teeter,body_internal_motion-49.1,Existence,Existence,Monosemous,,,,,,,Existence,,,
teeter,modes_of_being_with_motion-47.3,Existence,Existence,Monosemous,,,,,,,Existence,,,
teethe,chew-39.2,Transformation,Ingestion,Monosemous,,,,,,,Transformation,,,
telecast,instr_communication-37.4.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
telegraph,instr_communication-37.4.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
telephone,initiate_communication-37.4.2,Communication,Communicate,Monosemous,,,,,,,Communication,,,
telephone,instr_communication-37.4.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
televise,transcribe-25.4,Creation,Image Creation,Monosemous,,,,,,,Creation,,,
telex,instr_communication-37.4.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
tell,transfer_mesg-37.1.1,Communication,Communicate,Monosemous,,,,,,,Communication,,,
tell_apart,distinguish-23.5,Association,Liken and Differentiate,Monosemous,,,,,,,Association,,,
temp,employment-95.3,Affiliation,Membership,Monosemous,,,,,,,Affiliation,,,
tempt,amuse-31.1,Affect,Affect,Polysemous,,,,,,,Affect,,,
tempt,urge-58.1,Communication,Request,Polysemous,,,,,,,Communication,,,
tenderize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tense,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
term,dub-29.3.2,Communication,Statement,Monosemous,,,,,,,Communication,,,
terminate,ﬁre-10.10,Affiliation,Cause Membership,Monosemous,,,,,,,Affiliation,,,
terrify,amuse-31.1,Affect,Affect,Polysemous,,,,,,,Affect,,,
terrify,bully-59.5,Affiliation,Attack,Polysemous,,,,,,,Affiliation,,,
terrorize,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
test,assessment-34.1,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
test,investigate-35.4,Volition,Search,Polysemous,,,,,,,Volition,,,
testify,lecture-37.11,Communication,Statement,Monosemous,,,,,,,Communication,,,
tether,tape-22.4,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
thank,judgment-33.1,Affiliation,Attack,Polysemous,,,,,,,Affiliation,,,
thank,judgment-33.1,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
thatch,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
thaw,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
thaw,weather-57,Existence,Existence,Polysemous,,,,,,,Existence,,,
theorize,lecture-37.11,Communication,Statement,Monosemous,,,,,,,Communication,,,
thicken,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
thieve,steal-10.5,Possession,Transfer of Possession,Monosemous,,,,,,,Possession,,,
thin,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
think,consider-29.9,Cognition,Judge,Polysemous,,,,,,,Cognition,,,
think,wish-62,Volition,Search,Polysemous,,,,,,,Volition,,,
thirst,long-32.2,Volition,Intend,Monosemous,,,,,,,Volition,,,
thrash,spank-18.3,Force,Basic Force,Monosemous,,,,,,,Force,,,
thread,tape-22.4,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
threaten,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
thrill,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
thrill,marvel-31.3,Affect,Affect,Monosemous,,,,,,,Affect,,,
thrive,exist-47.1,Existence,Existence,Polysemous,,,,,,,Existence,,,
thrive,gorge-39.6,Transformation,Ingestion,Polysemous,,,,,,,Transformation,,,
throb,modes_of_being_with_motion-47.3,Existence,Existence,Monosemous,,,,,,,Existence,,,
throb,tingle-40.8.2,Existence,Existence,Monosemous,,,,,,,Existence,,,
throng,swarm-47.5.1,Existence,Existence,Monosemous,,,,,,,Existence,,,
throttle,poison-42.2,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
throw,amuse-31.1,Affect,Affect,Polysemous,,,,,,,Affect,,,
throw,throw-17.1,Motion,Throw,Polysemous,,,,,,,Motion,,,
throw_up,breathe-40.1.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
thrum,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
thrust,carry-11.4,Motion,Carry,Polysemous,,,,,,,Motion,,,
thrust,push-12,Force,Basic Force,Polysemous,,,,,,,Force,,,
thud,bump-18.4,Force,Basic Force,Polysemous,,,,,,,Force,,,
thud,sound_emission-43.2,Creation,Emission,Polysemous,,,,,,,Creation,,,
thumb,rummage-35.5,Volition,Search,Monosemous,,,,,,,Volition,,,
thumbtack,tape-22.4,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
thump,bump-18.4,Force,Basic Force,Polysemous,,,,,,,Force,,,
thump,hit-18.1,Force,Basic Force,Polysemous,,,,,,,Force,,,
thump,sound_emission-43.2,Creation,Emission,Polysemous,,,,,,,Creation,,,
thump,spank-18.3,Force,Basic Force,Polysemous,,,,,,,Force,,,
thunder,animal_sounds-38,Creation,Emission,Polysemous,,,,,,,Creation,,,
thunder,manner_speaking-37.3,Communication,Statement,Polysemous,,,,,,,Communication,,,
thunder,sound_emission-43.2,Creation,Emission,Polysemous,,,,,,,Creation,,,
thunder,weather-57,Existence,Existence,Polysemous,,,,,,,Existence,,,
thunk,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
thwack,hit-18.1,Force,Basic Force,Monosemous,,,,,,,Force,,,
tick,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
ticket,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
tickle,amuse-31.1,Affect,Affect,Polysemous,,,,,,,Affect,,,
tickle,tingle-40.8.2,Existence,Existence,Polysemous,,,,,,,Existence,,,
tickle,touch-20,Force,Basic Force,Polysemous,,,,,,,Force,,,
tie,mix-22.1,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
tie,tape-22.4,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
tighten,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,,,,,Transformation,,,
tile,butter-9.9,Incremental,Causative Incremental,Polysemous,,,,,,,Incremental,,,
tile,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tilt,battle-36.4,Affiliation,Reciprocal,Polysemous,,,,,,,Affiliation,,,
tilt,put_spatial-9.2,Incremental,Basic Incremental,Polysemous,,,,,,,Incremental,,,
tilt,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,,,,,Existence,,,
time,register-54.1,Quantification,Measurement,Monosemous,,,,,,,Quantification,,,
tin,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
ting,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
tinge,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,,,,,Incremental,,,
tingle,tingle-40.8.2,Existence,Existence,Monosemous,,,,,,,Existence,,,
tinkle,sound_emission-43.2,Creation,Emission,Monosemous,,,,,,,Creation,,,
tinsel,butter-9.9,Incremental,Causative Incremental,Monosemous,,,,,,,Incremental,,,
tint,coloring-24,Transformation,Causative Change of State,Monosemous,,,,,,,Transformation,,,
tip,pay-68,Possession,Pay and Charge,Polysemous,,,,,,,Possession,,,
tip,throw-17.1,Motion,Throw,Polysemous,,,,,,,Motion,,,
tiptoe,run-51.3.2,Motion,Basic Motion,Monosemous,,,,,,,Motion,,,
tire,amuse-31.1,Affect,Affect,Polysemous,,,,,,,Affect,,,
tire,marvel-31.3,Affect,Affect,Polysemous,,,,,,,Affect,,,
tire,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,,,,,Transformation,,,
tisk,manner_speaking-37.3,Communication,Statement,Monosemous,,,,,,,Communication,,,
tithe,pay-68,Possession,Pay and Charge,Monosemous,,,,,,,Possession,,,
titillate,amuse-31.1,Affect,Affect,Monosemous,,,,,,,Affect,,,
titter,nonverbal_expression-40.2,Existence,Existence,Monosemous,,,,,,,Existence,,,
toast,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,,,,,Transformation,,,
